Numeric Metric,Minimum value,1stQuartile,Median,Mean,3rdQuartile,Maximum value,NA
CM11a...less.than.30,Min.   :  7.30  ,1st Qu.: 12.19  ,Median : 16.00  ,Mean   : 21.71  ,3rd Qu.: 22.45  ,Max.   :314.00  ,NA's   :398  
CM11a...between.30.5,Min.   : 29.00  ,1st Qu.: 50.20  ,Median : 56.00  ,Mean   : 58.53  ,3rd Qu.: 61.00  ,Max.   :439.00  ,NA's   :399  
CM11a...over.50,Min.   :  3.30  ,1st Qu.: 21.60  ,Median : 25.00  ,Mean   : 27.54  ,3rd Qu.: 32.30  ,Max.   :140.00  ,NA's   :399  
CM11b.Diversity.and,Min.   :0.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :0.841  ,3rd Qu.:1.000  ,Max.   :1.000  ,NA
CM11b.Response,Min.   : 4.40  ,1st Qu.:26.00  ,Median :38.00  ,Mean   :38.86  ,3rd Qu.:50.00  ,Max.   :94.00  ,NA's   :82  
CM11b.Response.Regio,Min.   :1.000  ,1st Qu.:2.000  ,Median :2.000  ,Mean   :2.039  ,3rd Qu.:2.000  ,Max.   :3.000  ,NA's   :111  
CM11c.Diversity.and,Min.   :0.000  ,1st Qu.:0.000  ,Median :0.500  ,Mean   :0.607  ,3rd Qu.:1.000  ,Max.   :1.000  ,NA
CM11c...Black,Min.   : 0.00  ,1st Qu.: 5.00  ,Median : 9.00  ,Mean   :10.05  ,3rd Qu.:14.00  ,Max.   :33.50  ,NA's   :267  
CM11c...Hispanic,Min.   : 0.100  ,1st Qu.: 6.175  ,Median : 9.550  ,Mean   :12.184  ,3rd Qu.:16.000  ,Max.   :47.900  ,NA's   :268  
CM11c...White,Min.   :22.90  ,1st Qu.:51.15  ,Median :63.00  ,Mean   :61.17  ,3rd Qu.:71.33  ,Max.   :94.60  ,NA's   :212  
CM11c...Asian,Min.   : 0.20  ,1st Qu.: 5.00  ,Median : 9.45  ,Mean   :14.34  ,3rd Qu.:19.15  ,Max.   :69.80  ,NA's   :270  
CM11c..Pacific,Min.   :0.0000  ,1st Qu.:0.1970  ,Median :0.3000  ,Mean   :0.7834  ,3rd Qu.:0.6000  ,Max.   :7.0000  ,NA's   :483  
CM11c..Native,Min.   :0.0000  ,1st Qu.:0.1600  ,Median :0.3000  ,Mean   :0.4471  ,3rd Qu.:0.5250  ,Max.   :2.0000  ,NA's   :481  
CM11c..Twoormore,Min.   :1.000  ,1st Qu.:1.089  ,Median :1.650  ,Mean   :1.837  ,3rd Qu.:2.050  ,Max.   :4.000  ,NA's   :480  
CM11c.Response.Regio,Min.   :1.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :1.377  ,3rd Qu.:1.000  ,Max.   :3.000  ,NA's   :168  
 CM11.Source,Min.   :1.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :1.209  ,3rd Qu.:1.000  ,Max.   :5.000  ,NA's   :69  
CM12a.Pay.Equality.,Min.   :0.000  ,1st Qu.:0.000  ,Median :0.000  ,Mean   :0.159  ,3rd Qu.:0.000  ,Max.   :1.000  ,NA
CM12a.Pay.Equality.W,Min.   : 0.847  ,1st Qu.: 0.990  ,Median : 1.000  ,Mean   : 3.023  ,3rd Qu.: 1.000  ,Max.   :98.500  ,NA's   :452  
CM12a.Pay.Equality.W.1,Min.   :  0.910  ,1st Qu.:  0.990  ,Median :  1.000  ,Mean   :  2.866  ,3rd Qu.:  1.000  ,Max.   :100.000  ,NA's   :447  
 CM12.Source,Min.   :1.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :1.123  ,3rd Qu.:1.000  ,Max.   :5.000  ,NA's   :394  
CM13b.Wage.Level..Ra,Min.   :0.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :0.901  ,3rd Qu.:1.000  ,Max.   :1.000  ,NA
 CM13.Source,Min.   :1.00  ,1st Qu.:1.00  ,Median :3.00  ,Mean   :2.12  ,3rd Qu.:3.00  ,Max.   :5.00  ,NA's   :51  
CM14a.Risks.for.inci,Min.   :0.00  ,1st Qu.:0.00  ,Median :0.00  ,Mean   :0.16  ,3rd Qu.:0.00  ,Max.   :1.00  ,NA
CM14b.Risks.for.inci,Min.   :0.000  ,1st Qu.:0.000  ,Median :0.000  ,Mean   :0.139  ,3rd Qu.:0.000  ,Max.   :1.000  ,NA
 CM14.Source,Min.   :1.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :1.462  ,3rd Qu.:1.000  ,Max.   :5.000  ,NA's   :394  
CM15f.Health.and.Saf,Min.   :0.00  ,1st Qu.:0.50  ,Median :1.00  ,Mean   :0.77  ,3rd Qu.:1.00  ,Max.   :1.00  ,NA
 CM15.Source,Min.   :1.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :1.193  ,3rd Qu.:1.000  ,Max.   :5.000  ,NA's   :64  
  CM2.Index,Min.   :0.0000  ,1st Qu.:0.5556  ,Median :0.6667  ,Mean   :0.6607  ,3rd Qu.:0.6806  ,Max.   :0.8889  ,NA
  CM3.Index,Min.   :0.00  ,1st Qu.:0.00  ,Median :1.00  ,Mean   :0.65  ,3rd Qu.:1.00  ,Max.   :1.00  ,NA
  CM4.Index,Min.   :0.0000  ,1st Qu.:0.5000  ,Median :0.5000  ,Mean   :0.4945  ,3rd Qu.:0.7500  ,Max.   :1.0000  ,NA
  CM7.Index,Min.   :0.0000  ,1st Qu.:0.6667  ,Median :1.0000  ,Mean   :0.7333  ,3rd Qu.:1.0000  ,Max.   :1.0000  ,NA
  CM8.Index,Min.   :0.0000  ,1st Qu.:0.3875  ,Median :0.8000  ,Mean   :0.6603  ,3rd Qu.:1.0000  ,Max.   :1.0000  ,NA
  CM9.Index,Min.   :0.00  ,1st Qu.:0.00  ,Median :0.00  ,Mean   :0.05  ,3rd Qu.:0.00  ,Max.   :1.00  ,NA
  CM10.Index,Min.   :0.0000  ,1st Qu.:0.0000  ,Median :0.2500  ,Mean   :0.2772  ,3rd Qu.:0.5000  ,Max.   :1.0000  ,NA
  CM11.Index,Min.   :0.0000  ,1st Qu.:0.5000  ,Median :0.6667  ,Mean   :0.5820  ,3rd Qu.:0.6667  ,Max.   :1.0000  ,NA
  CM12.Index,Min.   :0.000  ,1st Qu.:0.000  ,Median :0.000  ,Mean   :0.159  ,3rd Qu.:0.000  ,Max.   :1.000  ,NA
  CM13.Index,Min.   :0.000  ,1st Qu.:1.000  ,Median :1.000  ,Mean   :0.901  ,3rd Qu.:1.000  ,Max.   :1.000  ,NA
  CM14.Index,Min.   :0.0000  ,1st Qu.:0.0000  ,Median :0.0000  ,Mean   :0.1495  ,3rd Qu.:0.0000  ,Max.   :1.0000  ,NA
  CM15.Index,Min.   :0.00  ,1st Qu.:0.50  ,Median :1.00  ,Mean   :0.77  ,3rd Qu.:1.00  ,Max.   :1.00  ,NA
  CM19.Index,Min.   :1  ,1st Qu.:1  ,Median :1  ,Mean   :1  ,3rd Qu.:1  ,Max.   :1  ,NA
  Gov.Index,Min.   :0.03704  ,1st Qu.:0.42593  ,Median :0.68519  ,Mean   :0.60173  ,3rd Qu.:0.76852  ,Max.   :0.96296  ,NA
 Planet.Index,Min.   :0.0000  ,1st Qu.:0.3000  ,Median :0.4750  ,Mean   :0.4302  ,3rd Qu.:0.5625  ,Max.   :0.9750  ,NA
 People.Index,Min.   :0.0000  ,1st Qu.:0.4000  ,Median :0.5333  ,Mean   :0.5123  ,3rd Qu.:0.6000  ,Max.   :1.0000  ,NA
Overall.Index,Min.   :0.0784  ,1st Qu.:0.4059  ,Median :0.5456  ,Mean   :0.5148  ,3rd Qu.:0.6341  ,Max.   :0.8404  ,NA
