"","Company.Name","Ticker.Symbol","Year"
"437","Raymond James Financial","RJF","2021"
"438","Sealed Air","SEE","2021"
"439","JM Smucker","SJM","2022"
"440","REPUBLIC SERVICES, INC. ","RSG","2021"
"442","Rockwell Automation, Inc.","ROK","2021"
"443","SVB Financial Group","SIVB","2022"
"444","West Pharmaceutical Services, Inc.","WST","2021"
"445","Western Union","WU","2021"
"446","Abiomed","ABMD","2020"
"447","Boston Properties","BXP","2020"
"448","Cabot Oil & Gas","COG","2020"
"449","Equifax Inc","EFX","2020"
"450","People's United Financial","PBCT","2020"
"451","Parker-Hannifin Corporation","PH","2020"
"452","Teleflex Inc.","TFX","2020"
"453","Trimble","TRMB","2020"
"454","Teradyne Inc.","TER","2020"
"455","Textron","TXT","2020"
"456","Tyler Technologies","TYL","2020"
"457","UDR","UDR","2020"
"458","Unum Group","UNM","2020"
"459","Vulcan Materials","VMC","2020"
"460","TransDigm Group","TDG","2020"
"461","Snap-On Inc","SNA","2020"
"462","Universal Health Services","UHS","2021"
"463","Vornado Realty Trust","VNO","2020"
"464","Verisign","VRSN","2020"
"465","Ventas","VTR","2020"
"466","Tractor Supply Company","TSCO","2021"
"467","Verisk Analytics","VRSK","2020"
"468","Viatris","VTRS","2020"
"469","Wabtec","WAB","2020"
"470","BIO-TECHNE Corp","TECH","2022"
"471","CONSTELLATION BRANDS, INC.","STZ","2022"
"473","WEC Energy Group","WEC","2020"
"474","Willis Towers Watson","WTW","2020"
"475","Williams Companies","WMB","2020"
"476","W. R. Berkley Corporation","WRB","2021"
"477","Weyerhaeuser","WY","2020"
"478","YETI Holdings, Inc","YETI","2022"
"480","Xcel Energy","XEL","2020"
"481","Dentsply Sirona","XRAY","2020"
"482","Xylem","XYL","2020"
"483","United Rentals","URI","2020"
"484","Levi Strauss & Co","LEVI","2021"
"485","Sprouts Farmer's Market, Inc","SFM","2021"
"486","Yum! Brands","YUM","2020"
"487","Zebra Technologies","ZBRA","2020"
"488","Zions Bancorp","ZION","2020"
"489","Zimmer Biomet","ZBH","2020"
"490","Papa John’s International, Inc.","PZZA","2021"
"491","YETI Holdings, Inc","YETI","2022"
"493","JetBlue AIrways Corporation","JBLU","2021"
"494","The Gap, Inc.","GPS","2021"
"495","Sprouts Farmers Markets, Inc.","SFM","2021"
"496","Schlumberger NV","SLB","2020"
"497","Sweetgreen, Inc.","SG","2021"
"498","Mattel, Inc.","MAT","2021"
"499","Wendys Company","WEN","2021"
"500","Celanese","CE","2020"
"501","Celsius Holdings, Inc.","CELH","2021"
"502","Columbia Sportswear Company","COLM","2021"
"504","Xilinx","XLNX","2020"
"505","Hess Corporation","HES","2020"
"506","Teledyne Technologies","TDY","2020"
"507","Bank of America","BAC","2020"
"509","Walmart Inc.","WMT","2020"
"511","UNITEDHEALTH GROUP INC","UNH","2020"
"513","Marathon Petroleum Corp","MPC","2020"
"515","AT&T INC.","T","2020"
"517","Alphabet Inc.","GOOGL","2020"
"519","EXXON MOBIL CORP","XOM","2020"
"521","DISH Network CORP","DISH","2020"
"522","AES Corp","AES","2020"
"523","WATERS CORP /DE/","WAT","2022"
"524","CVS Health","CVS","2020"
"525","AutoNation","AN","2020"
"526","Raytheon Technologies","RTX","2020"
"527","Fannie Mae","FNMA","2020"
"528","HASBRO, INC.","HAS","2020"
"529","Verizon Communications","VZ","2020"
"530","American Water Works Company, Inc.","AWK","2020"
"531","INTERNATIONAL BUSINESS MACHINES CORP","IBM","2020"
"532"," WORLD FUEL SERVICES CORPORATION","INT","2021"
"533","UNITED NATURAL FOODS INC","UNFI","2020"
"534","WestRock Co","WRK","2020"
"535","Albertsons Companies, Inc. ","ACI","2020"
"536","INTEL CORPORATION","INTC","2021"
"537","ViacomCBS","VIAC","2020"
"538","THE PNC FINANCIAL SERVICES GROUP","PNC","2020"
"539","JPMorgan Chase & Co.","JPM","2020"
"540","Facebook, Inc.","FB","2021"
"541","Dominion Energy, Inc.","D","2020"
"542","Morgan Stanley","MS","2020"
"543","Oracle Corporation","ORCL","2020"
"544","Anthem, Inc.","ANTM","2020"
"545","Chevron Corporation","CVX","2020"
"546","General Motors","GM","2020"
"547","Metlife, Inc.","MET","2020"
"548","Caterpillar","CAT","2020"
"549","Kaufman and Broad Home Corporation","KBH","2022"
"550","Cboe Global Markets, Inc. ","CBOE","2022"
"551"," CF INDUSTRIES HOLDINGS, INC.","CF","2022"
"552","CenterPoint Energy, Inc.","CNP","2022"
"553","Cintas Corporation","CTAS","2022"
"554","DISCOVER FINANCIAL SERVICES","DFS","2022"
"555","Lamb Weston Holdings, Inc.","LW","2022"
"556","MONOLITHIC POWER SYSTEMS, INC.","MPWR","2022"
"557"," STERIS plc","STE","2022"
"558","STATE STREET CORPORATION","STT","2022"
"559","Seagate Technology Holdings public limited company","STX","2022"
"560","Stanley Black & Decker","SWK","2022"
"561","TESLA, INC.","TSLA","2022"
"562","Constellation Brands","STZ","2022"
"564","SKYWORKS SOLUTIONS, INC.","SWKS","2022"
"565","MOLSON COORS BEVERAGE CO","TAP","2022"
